page_rank_decimal,url_length,double_slash_redirecting,prefix_suffix,favicon,request_url,url_of_anchor,links_in_tags,sfh,submitting_to_email,abnormal_url,redirect,popupwindow,iframe,web_traffic,page_rank,google_index,links_pointing_to_page,has_numbers,lev,sim_lev,fuzzy,sim_fuzz,num_of_subdomains,len_sub,len_of_subdomains,result
0.81,-1,1,1,1,0,1,0,1,-1,1,1,1,-1,0,1,1,1,1,0,0.7142857142857143,1,0,0,1,0,1
5.09,0,1,1,-1,-1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,1,0,0.4285714285714285,0,27,1,1,2,1
7.92,1,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,0,0.6666666666666666,1,0,0,1,0,-1
2.73,1,1,1,-1,1,0,1,1,1,1,1,1,1,0,1,-1,0,1,0,0.5,0,53,1,0,14,-1
0.0,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,1,0,0,0,0.5,0,36,1,0,14,-1
0.0,0,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,0,0,0.5,0,18,1,-1,36,-1
5.3,-1,1,1,-1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,0,0,0.7142857142857143,0,20,1,1,3,1
2.08,-1,1,1,1,0,0,0,1,1,1,1,1,-1,0,1,-1,1,1,0,0.5,0,50,2,0,8,1
4.92,-1,1,1,1,1,1,0,1,1,1,1,1,-1,0,1,1,1,1,0,0.6666666666666666,1,0,0,1,0,1
0.0,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,0,0.25,0,46,1,1,7,-1
2.48,1,1,1,-1,1,0,1,1,1,1,1,1,1,0,1,-1,0,1,0,0.5,0,57,1,0,13,-1
3.64,-1,1,1,1,0,1,0,1,1,1,1,1,-1,0,1,-1,1,1,0,0.5,0,20,1,1,3,1
0.0,1,1,1,-1,1,0,1,1,1,1,1,1,1,-1,-1,-1,0,1,0,0.5,0,53,1,0,14,-1
